Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Attention deficit hyperactivity disorder	C1263846	BTBD9	114781	Q96Q07	BTB domain containing 9		27	0.691	0.423	7.0655e-09	0.02		1.0	2	2	2009.0	2009.0
Attention deficit hyperactivity disorder	C1263846	ADORA2A	135	P29274	adenosine A2a receptor	G-protein coupled receptor	213	0.526	0.769	0.5971	0.02		1.0	2	1	2013.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CRP	1401	P02741	C-reactive protein		1483	0.299	0.962	0.0036969	0.02		0.5	2	0	2018.0	2020.0
Attention deficit hyperactivity disorder	C1263846	DNAAF4	161582	Q8WXU2	dynein axonemal assembly factor 4		70	0.623	0.731	9.7181e-10	0.02		0.5	2	0	2008.0	2018.0
Attention deficit hyperactivity disorder	C1263846	DNMT3B	1789	Q9UBC3	DNA methyltransferase 3 beta		315	0.453	0.846	0.19964	0.02		1.0	2	0	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	F2R	2149	P25116	coagulation factor II thrombin receptor	G-protein coupled receptor	347	0.444	0.846	0.0084678	0.02		0.5	2	0	2002.0	2018.0
Attention deficit hyperactivity disorder	C1263846	FLRT3	23767	Q9NZU0	fibronectin leucine rich transmembrane protein 3		63	0.659	0.615	0.22014	0.02		1.0	2	0	2013.0	2018.0
Attention deficit hyperactivity disorder	C1263846	GAD1	2571	Q99259	glutamate decarboxylase 1	Enzyme	245	0.486	0.885	0.046164	0.02		1.0	2	2	2016.0	2020.0
Attention deficit hyperactivity disorder	C1263846	PART1	25859		prostate androgen-regulated transcript 1		250	0.483	0.885		0.02		1.0	2	0	2011.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CNTNAP2	26047	Q9UHC6	contactin associated protein 2		203	0.53	0.846	2.8673e-09	0.02		1.0	2	1	2010.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GRIA1	2890	P42261	glutamate ionotropic receptor AMPA type subunit 1	Ion channel	126	0.57	0.577	0.99869	0.02		1.0	2	0	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GUCY2C	2984	P25092	guanylate cyclase 2C	Kinase	88	0.599	0.577	1.3919e-30	0.02		1.0	2	0	2014.0	2019.0
Attention deficit hyperactivity disorder	C1263846	HLA-DRB1	3123	P01911	major histocompatibility complex, class II, DR beta 1	Immune response	1018	0.333	0.923	0.0010997	0.02		0.5	2	0	2001.0	2003.0
Attention deficit hyperactivity disorder	C1263846	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.02		1.0	2	0	2003.0	2016.0
Attention deficit hyperactivity disorder	C1263846	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.02		1.0	2	0	2004.0	2017.0
Attention deficit hyperactivity disorder	C1263846	IL1RN	3557	P18510	interleukin 1 receptor antagonist		701	0.373	0.923	0.030914	0.02		0.5	2	0	2002.0	2004.0
Attention deficit hyperactivity disorder	C1263846	IL5	3567	P05113	interleukin 5		359	0.437	0.846	0.0056529	0.02		1.0	2	0	2016.0	2020.0
Attention deficit hyperactivity disorder	C1263846	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.02		1.0	2	0	2018.0	2019.0
Attention deficit hyperactivity disorder	C1263846	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.02		1.0	2	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	INS	3630	P01308	insulin		405	0.445	0.923	0.30091	0.02		1.0	2	0	2003.0	2009.0
Attention deficit hyperactivity disorder	C1263846	INSRR	3645	P14616	insulin receptor related receptor	Kinase	186	0.508	0.808	5.3976e-24	0.02		1.0	2	0	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	KRT7	3855	P08729	keratin 7		287	0.463	0.808	3.0861e-12	0.02		1.0	2	0	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	NPSR1	387129	Q6W5P4	neuropeptide S receptor 1		69	0.608	0.615	2.0518e-09	0.02		0.0	2	1	2007.0	2014.0
Attention deficit hyperactivity disorder	C1263846	MTR	4548	Q99707	5-methyltetrahydrofolate-homocysteine methyltransferase		245	0.482	0.808	2.4301e-12	0.02		1.0	2	1	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	NCAM1	4684	P13591	neural cell adhesion molecule 1		445	0.415	0.885	0.99999	0.02		1.0	2	0	2011.0	2012.0
Attention deficit hyperactivity disorder	C1263846	BDNF-AS	497258		BDNF antisense RNA		77	0.638	0.538		0.02		1.0	2	2	2007.0	2017.0
Attention deficit hyperactivity disorder	C1263846	OXTR	5021	P30559	oxytocin receptor	G-protein coupled receptor	144	0.541	0.769	0.00071066	0.02		1.0	2	4	2015.0	2016.0
Attention deficit hyperactivity disorder	C1263846	DCDC2	51473	Q9UHG0	doublecortin domain containing 2		128	0.546	0.769	5.6611e-10	0.02		1.0	2	0	2009.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SCLY	51540	Q96I15	selenocysteine lyase	Enzyme	161	0.53	0.731	2.3341e-09	0.02		1.0	2	0	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	CFP	5199	P27918	complement factor properdin		108	0.573	0.692	0.68778	0.02		1.0	2	0	2011.0	2018.0
Attention deficit hyperactivity disorder	C1263846	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1101	0.32	0.885	1.4076e-06	0.02		1.0	2	3	2009.0	2018.0
Attention deficit hyperactivity disorder	C1263846	NANS	54187	Q9NR45	N-acetylneuraminate synthase	Enzyme	153	0.545	0.692		0.02		1.0	2	0	2015.0	2020.0
Attention deficit hyperactivity disorder	C1263846	POMC	5443	P01189	proopiomelanocortin		873	0.356	0.846	0.00011658	0.02		1.0	2	0	2007.0	2017.0
Attention deficit hyperactivity disorder	C1263846	INTS8	55656	Q75QN2	integrator complex subunit 8		14	0.792	0.385	0.9439	0.02		0.5	2	0	2010.0	2014.0
Attention deficit hyperactivity disorder	C1263846	PRS	5640		Prieto X-linked mental retardation syndrome		42	0.663	0.615		0.02		1.0	2	0	2016.0	2020.0
Attention deficit hyperactivity disorder	C1263846	NDRG2	57447	Q9UN36	NDRG family member 2	Enzyme	156	0.518	0.692	2.2044e-05	0.02		1.0	2	1	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.02		1.0	2	0	2013.0	2017.0
Attention deficit hyperactivity disorder	C1263846	RFC1	5981	P35251	replication factor C subunit 1		144	0.541	0.808	0.97305	0.02		1.0	2	0	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	OPN1SW	611	P03999	opsin 1, short wave sensitive	G-protein coupled receptor	164	0.519	0.769	0.021134	0.02		1.0	2	0	2018.0	2020.0
Attention deficit hyperactivity disorder	C1263846	TSPAN31	6302	Q12999	tetraspanin 31		112	0.556	0.654	0.21925	0.02		1.0	2	0	2015.0	2020.0
Attention deficit hyperactivity disorder	C1263846	ATXN1	6310	P54253	ataxin 1		218	0.534	0.769	0.97498	0.02		1.0	2	0	2011.0	2015.0
Attention deficit hyperactivity disorder	C1263846	SLC2A3	6515	P11169	solute carrier family 2 member 3	Transporter	144	0.534	0.769	0.010333	0.02		1.0	2	0	2011.0	2018.0
Attention deficit hyperactivity disorder	C1263846	COA7	65260	Q96BR5	cytochrome c oxidase assembly factor 7 (putative)		25	0.792	0.231	0.059686	0.02		1.0	2	0	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.02		1.0	2	0	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SPN	6693	P16150	sialophorin		101	0.563	0.692	0.014408	0.02		1.0	2	0	2010.0	2020.0
Attention deficit hyperactivity disorder	C1263846	SYT1	6857	P21579	synaptotagmin 1	Transporter	460	0.412	0.846	0.60038	0.02		1.0	2	2	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	TAL1	6886	P17542	TAL bHLH transcription factor 1, erythroid differentiation factor	Transcription factor	202	0.505	0.731	0.5659	0.02		1.0	2	0	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	TERC	7012		telomerase RNA component		296	0.471	0.846		0.02		0.5	2	0	2002.0	2018.0
Attention deficit hyperactivity disorder	C1263846	TERF1	7013	P54274	telomeric repeat binding factor 1		102	0.563	0.692	0.90655	0.02		1.0	2	0	2016.0	2020.0
Attention deficit hyperactivity disorder	C1263846	TPO	7173	P07202	thyroid peroxidase	Enzyme	306	0.455	0.846	1.8182e-21	0.02		0.5	2	0	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	TRH	7200	P20396	thyrotropin releasing hormone		230	0.519	0.846	0.00089084	0.02		1.0	2	0	2016.0	2020.0
Attention deficit hyperactivity disorder	C1263846	C4B	721	P0C0L4;P0C0L5	complement C4B (Chido blood group)	Enzyme modulator	66	0.603	0.808	0.83464	0.02		1.0	2	0	1995.0	1997.0
Attention deficit hyperactivity disorder	C1263846	CYBC1	79415	Q9BQA9	cytochrome b-245 chaperone 1		28	0.736	0.462	0.0006032	0.02		1.0	2	0	2018.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SYN3	8224	O14994	synapsin III	Cellular structure	38	0.686	0.462	0.0018871	0.02		0.5	2	0	2007.0	2013.0
Attention deficit hyperactivity disorder	C1263846	DTNBP1	84062	Q96EV8	dystrobrevin binding protein 1		93	0.588	0.615	6.8375e-06	0.02		1.0	2	0	2010.0	2012.0
Attention deficit hyperactivity disorder	C1263846	GNPAT	8443	O15228	glyceronephosphate O-acyltransferase		44	0.663	0.462	0.30403	0.02		1.0	2	0	2006.0	2019.0
Attention deficit hyperactivity disorder	C1263846	EBPL	84650	Q9BY08	EBP like	Enzyme	76	0.615	0.577	7.8199e-05	0.02		1.0	2	0	2008.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CAT	847	P04040	catalase	Enzyme	794	0.359	0.962	1.6263e-10	0.02		1.0	2	0	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	PER2	8864	O15055	period circadian regulator 2	Transcription factor	238	0.488	0.846	0.7148	0.02		1.0	2	0	2012.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DCLK1	9201	O15075	doublecortin like kinase 1	Kinase	123	0.545	0.615	0.99964	0.02		1.0	2	1	2012.0	2018.0
Attention deficit hyperactivity disorder	C1263846	BAG3	9531	O95817	BAG cochaperone 3		223	0.498	0.846	0.61738	0.02		1.0	2	0	2018.0	2019.0
Child attention deficit disorder	C0004269	LOC102723407	102723407		immunoglobulin heavy variable 4-38-2-like		159	0.514	0.769		0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	LOC102724971	102724971		putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8		139	0.527	0.769		0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	LOC105379528	105379528		uncharacterized LOC105379528		55	0.617	0.615		0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	CSF2	1437	P04141	colony stimulating factor 2	Signaling	1028	0.33	0.962	0.83468	0.01		1.0	1	0	2019.0	2019.0
Child attention deficit disorder	C0004269	C9orf72	203228	Q96LT7	C9orf72-SMCR8 complex subunit		258	0.496	0.769	1.0647e-06	0.01		1.0	1	0	2018.0	2018.0
Child attention deficit disorder	C0004269	AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	1250	0.311	0.962	0.9759	0.01		1.0	1	0	2009.0	2009.0
Child attention deficit disorder	C0004269	SMUG1	23583	Q53HV7	single-strand-selective monofunctional uracil-DNA glycosylase 1		1034	0.322	0.923	0.00045154	0.01		1.0	1	0	2017.0	2017.0
Child attention deficit disorder	C0004269	IGHV3OR16-7	28309		immunoglobulin heavy variable 3/OR16-7 (pseudogene)		98	0.566	0.654		0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	IGHV3-69-1	28402		immunoglobulin heavy variable 3-69-1 (pseudogene)		102	0.561	0.654		0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.01		1.0	1	0	2003.0	2003.0
Child attention deficit disorder	C0004269	IL2	3558	P60568	interleukin 2		950	0.336	0.885	0.47968	0.01		1.0	1	0	2000.0	2000.0
Child attention deficit disorder	C0004269	INS	3630	P01308	insulin		405	0.445	0.923	0.30091	0.01		1.0	1	0	2003.0	2003.0
Child attention deficit disorder	C0004269	ITPA	3704	Q9BY32	inosine triphosphatase	Enzyme	77	0.604	0.5	1.0144e-07	0.01		1.0	1	0	2019.0	2019.0
Child attention deficit disorder	C0004269	LAIR1	3903	Q6GTX8	leukocyte associated immunoglobulin like receptor 1	Receptor	89	0.569	0.692	3.2563e-07	0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	LOC390714	390714		immunoglobulin heavy chain variable region		55	0.617	0.615		0.01		1.0	1	0	2007.0	2007.0
Child attention deficit disorder	C0004269	LAMC2	3918	Q13753	laminin subunit gamma 2	Enzyme modulator	602	0.389	0.923	2.8791e-12	0.01		1.0	1	0	2019.0	2019.0
Child attention deficit disorder	C0004269	MECP2	4204	P51608	methyl-CpG binding protein 2	Epigenetic regulator	664	0.414	0.846	0.89382	0.01		1.0	1	0	2009.0	2009.0
Child attention deficit disorder	C0004269	SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	482	0.41	0.923	6.8497e-08	0.01		1.0	1	0	2011.0	2011.0
Child attention deficit disorder	C0004269	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.01		1.0	1	0	2009.0	2009.0
Child attention deficit disorder	C0004269	PIK3CB	5291	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Kinase	1083	0.322	0.885	0.99964	0.01		1.0	1	0	2009.0	2009.0
Child attention deficit disorder	C0004269	PIK3CD	5293	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Kinase	1119	0.319	0.885	0.99999	0.01		1.0	1	0	2009.0	2009.0
Child attention deficit disorder	C0004269	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1101	0.32	0.885	1.4076e-06	0.01		1.0	1	0	2009.0	2009.0
Child attention deficit disorder	C0004269	ZMYM2	7750	Q9UBW7	zinc finger MYM-type containing 2	Enzyme modulator	77	0.599	0.654	0.66648	0.01		1.0	1	0	2003.0	2003.0
Child attention deficit disorder	C0004269	NTPCR	84284	Q9BSD7	nucleoside-triphosphatase, cancer-related	Enzyme	8	0.805	0.115	0.0025124	0.01		1.0	1	0	2019.0	2019.0
Child attention deficit disorder	C0004269	CD38	952	P28907	CD38 molecule	Enzyme	473	0.407	0.885	2.3129e-06	0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	RIDA	10247	P52758	reactive intermediate imine deaminase A homolog		72	0.606	0.769	0.067892	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	LOC102723407	102723407		immunoglobulin heavy variable 4-38-2-like		159	0.514	0.769		0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	LOC102724971	102724971		putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8		139	0.527	0.769		0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	CACNG2	10369	Q9Y698	calcium voltage-gated channel auxiliary subunit gamma 2	Ion channel	24	0.729	0.385	0.92315	0.01		1.0	1	0	2013.0	2013.0
Attention Deficit Disorder	C0041671	SLC9A6	10479	Q92581	solute carrier family 9 member A6	Transporter	210	0.516	0.846	0.99833	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	LOC105379528	105379528		uncharacterized LOC105379528		55	0.617	0.615		0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	NRG3	10718	P56975	neuregulin 3	Signaling	43	0.67	0.615	0.10947	0.01		1.0	1	0	2013.0	2013.0
Attention Deficit Disorder	C0041671	CHRNA7	1139	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	Ion channel	172	0.532	0.654	0.00041549	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	BTBD9	114781	Q96Q07	BTB domain containing 9		27	0.691	0.423	7.0655e-09	0.01		1.0	1	1	2009.0	2009.0
Attention Deficit Disorder	C0041671	THEM4	117145	Q5T1C6	thioesterase superfamily member 4		33	0.674	0.462	3.8919e-07	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	CLTA	1211	P09496	clathrin light chain A	Transporter	55	0.628	0.654	0.96319	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	BPIFA2	140683	Q96DR5	BPI fold containing family A member 2		80	0.608	0.808	8.0124e-07	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	CSF2	1437	P04141	colony stimulating factor 2	Signaling	1028	0.33	0.962	0.83468	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	ADRA2A	150	P08913	adrenoceptor alpha 2A	G-protein coupled receptor	102	0.578	0.615	0.00081816	0.01		1.0	1	1	2010.0	2010.0
Attention Deficit Disorder	C0041671	DBH	1621	P09172	dopamine beta-hydroxylase		202	0.511	0.846	3.3352e-10	0.01		1.0	1	0	2006.0	2006.0
Attention Deficit Disorder	C0041671	AGA	175	P20933	aspartylglucosaminidase	Enzyme	143	0.57	0.808	4.2802e-06	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	AGT	183	P01019	angiotensinogen	Enzyme modulator	765	0.367	0.923	4.9706e-08	0.01		1.0	1	0	2020.0	2020.0
Attention Deficit Disorder	C0041671	NR0B1	190	P51843	nuclear receptor subfamily 0 group B member 1	Nuclear receptor	222	0.494	0.808	0.97025	0.01		1.0	1	0	2013.0	2013.0
Attention Deficit Disorder	C0041671	C9orf72	203228	Q96LT7	C9orf72-SMCR8 complex subunit		258	0.496	0.769	1.0647e-06	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	1250	0.311	0.962	0.9759	0.01		1.0	1	0	2009.0	2009.0
Attention Deficit Disorder	C0041671	OTP	23440	Q5XKR4	orthopedia homeobox		22	0.743	0.423	0.74039	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	SMUG1	23583	Q53HV7	single-strand-selective monofunctional uracil-DNA glycosylase 1		1034	0.322	0.923	0.00045154	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	GJB2	2706	P29033	gap junction protein beta 2	Cell-cell junction	392	0.441	0.846	6.562e-16	0.01		1.0	1	0	2006.0	2006.0
Attention Deficit Disorder	C0041671	DISC1	27185	Q9NRI5	DISC1 scaffold protein		136	0.548	0.769	1.6756e-06	0.01		1.0	1	0	2006.0	2006.0
Attention Deficit Disorder	C0041671	IGHV3OR16-7	28309		immunoglobulin heavy variable 3/OR16-7 (pseudogene)		98	0.566	0.654		0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	IGHV3-69-1	28402		immunoglobulin heavy variable 3-69-1 (pseudogene)		102	0.561	0.654		0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	SLC9A9	285195	Q8IVB4	solute carrier family 9 member A9	Transporter	44	0.656	0.577	5.3311e-12	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	GUCY2C	2984	P25092	guanylate cyclase 2C	Kinase	88	0.599	0.577	1.3919e-30	0.01		1.0	1	0	2014.0	2014.0
Attention Deficit Disorder	C0041671	GUCY2D	3000	Q02846	guanylate cyclase 2D, retinal	Kinase	121	0.57	0.769	6.4574e-10	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	HCRT	3060	O43612	hypocretin neuropeptide precursor		237	0.5	0.808	0.028774	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	NT5C	30833	Q8TCD5	5', 3'-nucleotidase, cytosolic		25	0.729	0.231	0.0027292	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	HPRT1	3251	P00492	hypoxanthine phosphoribosyltransferase 1	Enzyme	210	0.5	0.808	0.93728	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	IFNG	3458	P01579	interferon gamma		1519	0.288	0.962	0.47156	0.01		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	485	0.422	0.846	0.046544	0.01		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	IL2	3558	P60568	interleukin 2		950	0.336	0.885	0.47968	0.01		1.0	1	0	2000.0	2000.0
Attention Deficit Disorder	C0041671	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	INS	3630	P01308	insulin		405	0.445	0.923	0.30091	0.01		1.0	1	0	2003.0	2003.0
Attention Deficit Disorder	C0041671	ITPA	3704	Q9BY32	inosine triphosphatase	Enzyme	77	0.604	0.5	1.0144e-07	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	LAIR1	3903	Q6GTX8	leukocyte associated immunoglobulin like receptor 1	Receptor	89	0.569	0.692	3.2563e-07	0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	LOC390714	390714		immunoglobulin heavy chain variable region		55	0.617	0.615		0.01		1.0	1	0	2007.0	2007.0
Attention Deficit Disorder	C0041671	LAMC2	3918	Q13753	laminin subunit gamma 2	Enzyme modulator	602	0.389	0.923	2.8791e-12	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	MIR142	406934		microRNA 142		220	0.48	0.846		0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	MIR34B	407041		microRNA 34b		165	0.509	0.808		0.01		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	MIR34C	407042		microRNA 34c		131	0.541	0.885		0.01		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	MSMB	4477	P08118	microseminoprotein beta	Signaling	195	0.498	0.846	0.016199	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	NF1	4763	P21359	neurofibromin 1	Enzyme modulator	380	0.44	0.885	0.90175	0.01		1.0	1	0	2012.0	2012.0
Attention Deficit Disorder	C0041671	NTF3	4908	P20783	neurotrophin 3	Signaling	170	0.519	0.808	0.93201	0.01		1.0	1	0	2010.0	2010.0
Attention Deficit Disorder	C0041671	MIR378A	494327		microRNA 378a		127	0.532	0.808		0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	482	0.41	0.923	6.8497e-08	0.01		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.01		1.0	1	0	2009.0	2009.0
Attention Deficit Disorder	C0041671	PIK3CB	5291	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Kinase	1083	0.322	0.885	0.99964	0.01		1.0	1	0	2009.0	2009.0
Attention Deficit Disorder	C0041671	PIK3CD	5293	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Kinase	1119	0.319	0.885	0.99999	0.01		1.0	1	0	2009.0	2009.0
Attention Deficit Disorder	C0041671	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1101	0.32	0.885	1.4076e-06	0.01		1.0	1	0	2009.0	2009.0
Attention Deficit Disorder	C0041671	POMC	5443	P01189	proopiomelanocortin		873	0.356	0.846	0.00011658	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	PSPN	5623	O60542	persephin	Signaling	70	0.608	0.769	0.00011172	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	DNAJC12	56521	Q9UKB3	DnaJ heat shock protein family (Hsp40) member C12		35	0.705	0.423	2.0723e-06	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	PSPH	5723	P78330	phosphoserine phosphatase	Enzyme	114	0.57	0.808	0.00096703	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	NDRG2	57447	Q9UN36	NDRG family member 2	Enzyme	156	0.518	0.692	2.2044e-05	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	KIDINS220	57498	Q9ULH0	kinase D interacting substrate 220		145	0.534	0.769	0.073562	0.01		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	NUFIP2	57532	Q7Z417	nuclear FMR1 interacting protein 2		58	0.641	0.577	0.99891	0.01		1.0	1	0	2009.0	2009.0
Attention Deficit Disorder	C0041671	PTPRC	5788	P08575	protein tyrosine phosphatase receptor type C	Enzyme	366	0.435	0.808	1.0	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	PTPRG	5793	P23470	protein tyrosine phosphatase receptor type G	Enzyme	70	0.619	0.731	5.0736e-06	0.01		1.0	1	0	2016.0	2016.0
Attention Deficit Disorder	C0041671	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.01		1.0	1	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	REG1A	5967	P05451	regenerating family member 1 alpha		264	0.467	0.846	1.3499e-05	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	CCL11	6356	P51671	C-C motif chemokine ligand 11	Signaling	250	0.473	0.885	0.010211	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	SLC6A8	6535	P48029	solute carrier family 6 member 8	Transporter	274	0.476	0.846	0.99778	0.01		1.0	1	0	2010.0	2010.0
Attention Deficit Disorder	C0041671	STXBP3	6814	O00186	syntaxin binding protein 3	Transporter	69	0.61	0.769	5.1597e-05	0.01		1.0	1	0	1999.0	1999.0
Attention Deficit Disorder	C0041671	THBS3	7059	P49746	thrombospondin 3		19	0.792	0.269	2.5795e-21	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	TPO	7173	P07202	thyroid peroxidase	Enzyme	306	0.455	0.846	1.8182e-21	0.01		1.0	1	0	2018.0	2018.0
Attention Deficit Disorder	C0041671	CACNA1C	775	Q13936	calcium voltage-gated channel subunit alpha1 C	Ion channel	225	0.51	0.846	1.0	0.01		1.0	1	0	2011.0	2011.0
Attention Deficit Disorder	C0041671	ZMYM2	7750	Q9UBW7	zinc finger MYM-type containing 2	Enzyme modulator	77	0.599	0.654	0.66648	0.01		1.0	1	0	2003.0	2003.0
Attention Deficit Disorder	C0041671	NTPCR	84284	Q9BSD7	nucleoside-triphosphatase, cancer-related	Enzyme	8	0.805	0.115	0.0025124	0.01		1.0	1	0	2019.0	2019.0
Attention Deficit Disorder	C0041671	GNPAT	8443	O15228	glyceronephosphate O-acyltransferase		44	0.663	0.462	0.30403	0.01		1.0	1	0	2006.0	2006.0
